symbol,current_price,poc_price,poc_single_bar_pct,poc_position_pct,bottom_30_chip_pct,profit_pct,price_position_pct,concentration_pct,dist_to_poc_pct,price_min,price_max
AAPL,250.77,272.62057142857145,4.825655689476994,63.571428571428626,10.999432781912722,1.8353249187955307,13.820582877959971,99.96949358920303,-8.015011968492058,244.7,288.62
MSFT,454.48,478.374,6.466465491385964,27.85714285714289,50.50470230246042,0.5834470074842221,4.978935273841481,96.30972026282262,-4.9948366759063,449.28,553.72
NVDA,180.075,186.9105307142857,4.970253231958858,40.71428571428567,34.66388510612184,21.394668749813572,24.683453760444984,97.61707232118586,-3.6571137475044715,169.55,212.1899
GOOGL,326.03,315.295,4.991303296038255,75.00000000000001,4.503707634937982,82.46617232585227,85.65191506251236,87.50337184479793,3.4047479344740497,239.71,340.49
META,607.54,661.30725,6.12088966026487,44.99999999999998,32.17708738418796,9.759602928055191,14.777549815912968,93.21918010529863,-8.13044919740408,581.25,759.155
AMZN,233.35,226.9999285714286,3.4472862235017727,33.571428571428605,18.71391183316,53.651305218861765,46.92032793777587,96.45254973283578,2.797389174760582,211.03,258.6
TSLA,426.6,446.60749999999996,3.680188904081704,54.999999999999986,14.832381049814773,18.782575144635867,37.75958638517884,91.88332152578053,-4.479884462307494,382.78,498.83
CRM,225.34,260.6899107142857,3.4263671858350873,82.14285714285708,20.053191207936045,1.3240238323886817,7.173532686495928,81.96986741241238,-13.56013764300566,221.9575,269.11
ADBE,291.9133,353.47121428571427,3.1073683877277625,86.42857142857142,15.551654434318953,0.5444237132898042,4.754278890805371,77.28949156769042,-17.415255273363336,288.33,363.7
NFLX,88.595,94.40142857142857,4.654668464692152,17.857142857142843,55.83033235430129,5.843057066658966,2.197950377562022,66.5903116085653,-6.15078464308954,87.78,124.86
PYPL,55.765,60.027857142857144,5.212090976336346,20.71428571428571,66.01098343643798,0.4878532680104272,3.099173553719008,73.24334939340052,-7.10146479610657,55.015,79.215
SHOP,148.16,163.45735714285715,3.367564310591284,59.2857142857143,14.940620082685543,10.839999207510287,26.037817865681355,89.67496398371718,-9.358622585270169,136.18,182.19
ROKU,104.43,110.877315,3.560789882034017,77.85714285714286,17.16246247190467,33.46149003147676,53.168880600729885,78.61446828001088,-5.814818838280841,90.545,116.6599
PLTR,170.555,177.96828571428574,4.770449215255133,50.714285714285744,9.299018534705489,18.972988905062497,38.35056704469647,91.42609819920634,-4.16550942463265,147.56,207.52
COIN,229.2201,245.52585714285715,5.032689796665312,13.571428571428577,65.58361402203823,1.476174290905527,2.537623494383545,65.58361402203823,-6.641156794076389,225.47,373.25
MARA,10.885,10.917857142857141,7.957279295221451,13.571428571428562,73.6132976811771,33.77891383072399,13.3448275862069,60.74991573921451,-0.3009486424599124,8.95,23.45
RIOT,18.845,15.2282,3.4766372674849193,27.857142857142854,40.33527471619748,75.82525881250287,59.439399231575266,43.0564003449733,23.750673093339987,12.038,23.49
SOFI,25.915,27.138214285714284,4.571438339263224,39.28571428571428,12.996396047498179,6.274538470288396,26.004343105320306,85.25215669184223,-4.507349941437347,23.52,32.73
HOOD,106.63,119.7205,3.8290039632709147,36.42857142857144,29.07005269379892,2.833433395783556,9.365309075873476,77.18097955660747,-10.934217615195397,102.1,150.47
JPM,308.58,310.8949228571429,3.764382799654362,43.571428571428626,15.515084217192,28.34943788012907,38.614972208661946,99.99999999999997,-0.7445997624755735,290.5448,337.25
BAC,52.755,52.71517857142857,3.669481364961886,46.428571428571395,4.08037837155313,30.6843755387879,46.86980609418288,99.99999999999997,0.07554072593622792,48.525,57.55
XOM,130.875,116.69753571428572,3.57572198696138,29.285714285714302,20.261398392383047,97.61452245869617,95.05915100904664,85.14894798830616,12.148897745729109,110.385,131.94
CVX,166.33,149.92200000000003,2.259410271980195,15.000000000000075,27.83545199876879,92.97353248282398,86.71328671328673,83.93943324207366,10.944357732687655,146.49,169.37
WMT,118.275,119.83328571428572,7.770774753313785,92.14285714285715,7.54666508878139,52.976604604035806,85.29023746701849,87.9845237730593,-1.3003780251849908,98.88,121.62
KO,71.21,70.38964285714286,5.427854416263176,60.71428571428572,9.888855470445195,80.64322854610253,72.06085753803583,100.00000000000003,1.1654514919504058,66.0,73.23
AMD,236.38,215.59643499999999,3.494480424644358,29.285714285714253,32.10013539545011,73.7126521045922,57.832645879604236,75.36680995195336,9.640031849320705,194.275,267.0799
INTC,49.69,48.265,2.5388776260668493,87.85714285714286,22.06932449194853,97.38149044205977,95.99999999999999,39.16489071659154,2.9524500155392044,32.89,50.39
MU,365.585,338.31270785714287,4.235158682864798,77.85714285714285,30.359234695546753,95.0929425878205,91.82074231772171,42.252907815220254,8.061267433788862,186.25,381.5599
QCOM,155.945,174.69549999999998,4.550701802043204,39.28571428571425,21.636193999267498,0.25099828468583235,2.8614165274485903,89.82142083678274,-10.733247278836599,154.472,205.95
AVGO,335.38,342.0549285714286,5.232016810197275,22.14285714285716,54.339594050288184,10.24730268728309,14.980148084558406,84.07136755096658,-1.9514200831153166,321.42,414.61
AMAT,322.845,258.9971428571429,3.7803388991668316,43.571428571428584,28.185921843612654,93.24755998973593,93.60893416927902,44.92030349432971,24.651954241083743,203.4,331.0
